sep='tab'
SITE.CODE	SITE	SITE.LAT	SITE.LONG	COUNTRY	ECO.REGION	SURVEY.DATE	SURVEY.ID	DEPTH	WATER.TEMPERATURE.F	pH	SALINITY.parts.per.1000
countryCode	municipality	verbatimLatitude	verbatimLongitude	country	county	verbatimEventDate	eventID	verbatimDepth	waterBody	rightsHolder	earliestEraOrLowestErathem
locationID	locality	decimalLatitude	decimalLongitude	countryCode	municipality	eventDate	parentEventID	minimumDepthInMeters	fieldNumber	higherGeography	latestEraOrHighestErathem
geologicalContextID	locationID	municipality	municipality	locality	stateProvince	georeferencedDate	fieldNumber	maximumDepthInMeters	fieldNotes	higherGeographyID	earliestEonOrLowestEonothem
eventID	locationAccordingTo	verbatimLocality	locationID	stateProvince	higherGeographyID	eventTime	eventTime	minimumDistanceAboveSurfaceInMeters	footprintSpatialFit	habitat	earliestPeriodOrLowestSystem
higherGeographyID	verbatimLocality	locationAccordingTo	locationAccordingTo	continent	country	eventID	eventRemarks	maximumDistanceAboveSurfaceInMeters	formation	highestBiostratigraphicZone	earliestEpochOrLowestSeries
latestEonOrHighestEonothem	island	locationID	verbatimLocality	county	locality	eventRemarks	verbatimEventDate	verbatimElevation	locality	stateProvince	earliestAgeOrLowestStage
earliestEonOrLowestEonothem	locationRemarks	locality	locality	island	locationID	parentEventID	eventDate	minimumElevationInMeters	footprintWKT	samplingProtocol	latestEonOrHighestEonothem
continent	footprintWKT	locationRemarks	locationRemarks	verbatimLocality	island	day	geologicalContextID	maximumElevationInMeters	footprintSRS	dynamicProperties	latestPeriodOrHighestSystem
earliestEraOrLowestErathem	continent	footprintWKT	island	NA	higherGeography	verbatimElevation	locationID	NA	island	coordinatePrecision	latestEpochOrHighestSeries
latestEraOrHighestErathem	eventID	verbatimLongitude	footprintWKT	NA	geologicalContextID	year	day	NA	parentEventID	accessRights	latestAgeOrHighestStage
