event_uuid,locationID,locality,decimalLatitude,decimalLongitude,country,higherGeography,eventDate,fieldNumber,minimumDepthInMeters,WATER.TEMPERATURE.F,WATER.TEMPERATURE.F_detBy,WATER.TEMPERATURE.F_unit,WATER.TEMPERATURE.F_accuracy,WATER.TEMPERATURE.F_method,pH,pH_detBy,pH_unit,pH_accuracy,pH_detDate,pH_method,pH_remarks,SALINITY.parts.per.1000,SALINITY.parts.per.1000_detBy,SALINITY.parts.per.1000_unit,SALINITY.parts.per.1000_accuracy,SALINITY.parts.per.1000_detDate,SALINITY.parts.per.1000_method,SALINITY.parts.per.1000_remarks
8ce46bad-7a68-11e6-bb23-23fbc77e3390,CAN46,Barranco del Kikere 2,28.917,-13.6942,Spain,Azores Canaries Madeira,4/29/2012,912342089,18,82,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,35.9,QQ,ppt,0.1,NA,NA,NA
8cc4f6a4-7a68-11e6-bb23-23fbc77e3390,VIC9,Drew s Jetty,-37.88847,147.96752,Australia,Cape Howe,2/18/2009,3000060,3,82,Not Jason Mai,degreeF,0.1,NA,7.8,not me,no unit,0.1,NA,NA,NA,34.1,QQ,ppt,0.1,NA,NA,NA
8cd65eeb-7a68-11e6-bb23-23fbc77e3390,CHMP-S5,Howe Central,-37.50784,149.9761,Australia,Cape Howe,2/4/2011,3002551,8.1,74,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,34.7,QQ,ppt,0.1,NA,NA,NA
8cc0fef5-7a68-11e6-bb23-23fbc77e3390,SI20,Unnamed Reef Mooring NW Solitary Is,-30.01745,153.26816,Australia,Tweed-Moreton,6/7/2008,2001144,15.1,77,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,35.4,QQ,ppt,0.1,NA,NA,NA
8ce99cb9-7a68-11e6-bb23-23fbc77e3390,PAC58,Pangaimotu,-21.11765,-175.16484,Tonga,Tonga Islands,9/12/2012,912341201,6,73,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,35.3,QQ,ppt,0.1,NA,NA,NA
8cd52637-7a68-11e6-bb23-23fbc77e3390,USEC9,Vaca Key Bight S FL,24.70784,-81.04805,United States,Floridian,10/16/2010,1003781,6.8,75,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,35.7,QQ,ppt,0.1,NA,NA,NA
8cd04358-7a68-11e6-bb23-23fbc77e3390,RI8,Fish Hook Bay,-32.02435,115.45157,Australia,Leeuwin,5/15/2010,6002071,8.7,75,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,35.4,QQ,ppt,0.1,NA,NA,NA
8cd6fb4a-7a68-11e6-bb23-23fbc77e3390,CAR6,Providencia1,13.45645,-81.36713,Colombia,Southwestern Caribbean,3/16/2011,1003643,6.8,77,Not Jason Mai,degreeF,0.1,NA,7.8,not me,no unit,0.1,NA,NA,NA,35.2,QQ,ppt,0.1,NA,NA,NA
8cd23f82-7a68-11e6-bb23-23fbc77e3390,QLD56,Mermaid Cove dropoff,-14.64588,145.45546,Australia,Torres Strait Northern Great Barrier Reef,6/30/2010,4000728,5,82,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,1955/6/6,NA,NA,34.9,QQ,ppt,0.1,NA,NA,NA
8cf11860-7a68-11e6-bb23-23fbc77e3390,KG-S12,"Erith Island, Murray Passage",-39.449,147.30203,Australia,Cape Howe,3/29/2013,912342551,10.3,78,Not Jason Mai,degreeF,0.1,NA,7.8,not me,no unit,0.1,NA,NA,NA,35,QQ,ppt,0.1,NA,NA,NA
