SURVEYID,TAXON,FAMILY,SUM(TOTAL)
1003253,Cymatogaster aggregata,Embiotocidae,250
1003253,Embiotoca lateralis,Embiotocidae,7
1003253,Ophiodon elongatus,Hexagrammidae,5
1003253,Rhacochilus vacca,Embiotocidae,9
1003253,Rhinogobiops nicholsii,Gobiidae,29
1003253,Sebastes auriculatus,Sebastidae,2
1003253,Sebastes caurinus,Sebastidae,20
1003253,Sebastes spp.,Sebastidae,1
1003254,Caulolatilus princeps,Malacanthidae,3
1003254,Chromis punctipinnis,Pomacentridae,60
1003254,Embiotoca jacksoni,Embiotocidae,5
1003254,Halichoeres semicinctus,Labridae,1
1003254,Hypsypops rubicundus,Pomacentridae,1
1003254,Oxyjulis californica,Labridae,14
1003254,Oxylebius pictus,Hexagrammidae,7
1003254,Paralabrax clathratus,Serranidae,8
1003254,Rhacochilus vacca,Embiotocidae,1
1003254,Rhinogobiops nicholsii,Gobiidae,40
1003254,Sebastes mystinus,Sebastidae,2
1003254,Sebastes serriceps,Sebastidae,1
1003254,Semicossyphus pulcher,Labridae,3
1003255,Embiotoca jacksoni,Embiotocidae,7
1003255,Embiotoca lateralis,Embiotocidae,3
1003255,Hexagrammos decagrammus,Hexagrammidae,1
1003255,Oxyjulis californica,Labridae,9
1003255,Oxylebius pictus,Hexagrammidae,1
1003255,Paralabrax clathratus,Serranidae,4
1003255,Rhacochilus vacca,Embiotocidae,14
1003255,Sebastes atrovirens,Sebastidae,2
1003255,Sebastes mystinus,Sebastidae,27
1003255,Sebastes serranoides,Sebastidae,21
1003255,Semicossyphus pulcher,Labridae,4
1003256,Embiotoca jacksoni,Embiotocidae,18
1003256,Embiotoca lateralis,Embiotocidae,8
1003256,Orthonopias triacis,Cottidae,1
1003256,Oxylebius pictus,Hexagrammidae,16
1003256,Rhinogobiops nicholsii,Gobiidae,1
1003256,Sebastes atrovirens,Sebastidae,7
1003256,Sebastes mystinus,Sebastidae,38
1003256,Sebastes serranoides,Sebastidae,2
1003256,Semicossyphus pulcher,Labridae,5
1003257,Embiotoca jacksoni,Embiotocidae,18
1003257,Embiotoca lateralis,Embiotocidae,7
1003257,Gibbonsia spp.,Clinidae,1
1003257,Hypsurus caryi,Embiotocidae,10
1003257,Leiocottus hirundo,Cottidae,1
1003257,Orthonopias triacis,Cottidae,1
1003257,Oxyjulis californica,Labridae,19
1003257,Oxylebius pictus,Hexagrammidae,7
1003257,Rhacochilus vacca,Embiotocidae,6
1003257,Rhinogobiops nicholsii,Gobiidae,9
1003257,Sebastes atrovirens,Sebastidae,2
1003257,Sebastes carnatus,Sebastidae,1
1003257,Sebastes chrysomelas,Sebastidae,3
1003257,Sebastes mystinus,Sebastidae,41
1003257,Sebastes serranoides,Sebastidae,27
1003258,Embiotoca jacksoni,Embiotocidae,17
1003258,Embiotoca lateralis,Embiotocidae,14
1003258,Girella nigricans,Kyphosidae,2
1003258,Halichoeres semicinctus,Labridae,1
1003258,Heterostichus rostratus,Clinidae,1
1003258,Hypsurus caryi,Embiotocidae,6
1003258,Hypsypops rubicundus,Pomacentridae,2
1003258,Leiocottus hirundo,Cottidae,2
1003258,Oxylebius pictus,Hexagrammidae,4
1003258,Rhacochilus vacca,Embiotocidae,18
1003258,Sebastes atrovirens,Sebastidae,2
1003258,Sebastes mystinus,Sebastidae,32
1003258,Sebastes serranoides,Sebastidae,29
1003258,Semicossyphus pulcher,Labridae,3
1003259,Chromis punctipinnis,Pomacentridae,91
1003259,Oxyjulis californica,Labridae,7
1003259,Rhacochilus vacca,Embiotocidae,4
1003259,Rhinogobiops nicholsii,Gobiidae,10
1003259,Sebastes mystinus,Sebastidae,7
1003259,Semicossyphus pulcher,Labridae,1
1003260,Tautogolabrus adspersus,Labridae,143
1003262,Tautogolabrus adspersus,Labridae,12
1003263,Caulolatilus princeps,Malacanthidae,3
1003263,Chromis punctipinnis,Pomacentridae,67
1003263,Embiotoca jacksoni,Embiotocidae,6
1003263,Hypsypops rubicundus,Pomacentridae,8
1003263,Medialuna californiensis,Kyphosidae,3
1003263,Oxyjulis californica,Labridae,12
1003263,Oxylebius pictus,Hexagrammidae,21
1003263,Paralabrax clathratus,Serranidae,15
1003263,Rhacochilus toxotes,Embiotocidae,1
1003263,Rhacochilus vacca,Embiotocidae,10
1003263,Rhinogobiops nicholsii,Gobiidae,27
1003263,Sebastes auriculatus,Sebastidae,1
1003263,Sebastes carnatus,Sebastidae,2
1003263,Sebastes mystinus,Sebastidae,7
1003263,Semicossyphus pulcher,Labridae,12
1003264,Ophiodon elongatus,Hexagrammidae,1
1003264,Orthonopias triacis,Cottidae,2
1003264,Rhinogobiops nicholsii,Gobiidae,32
1003264,Scorpaenichthys marmoratus,Cottidae,2
1003264,Sebastes atrovirens,Sebastidae,11
1003264,Sebastes carnatus,Sebastidae,2
1003264,Sebastes chrysomelas,Sebastidae,1
1003264,Sebastes serranoides,Sebastidae,2
1003265,Brachyistius frenatus,Embiotocidae,2
1003265,Embiotoca jacksoni,Embiotocidae,2
1003265,Embiotoca lateralis,Embiotocidae,10
1003265,Hypsurus caryi,Embiotocidae,1
1003265,Oxyjulis californica,Labridae,23
1003265,Oxylebius pictus,Hexagrammidae,25
1003265,Rhacochilus vacca,Embiotocidae,9
1003265,Rhinogobiops nicholsii,Gobiidae,25
1003265,Sebastes atrovirens,Sebastidae,1
1003265,Sebastes chrysomelas,Sebastidae,2
1003265,Sebastes mystinus,Sebastidae,17
1003265,Sebastes serranoides,Sebastidae,1
1003265,Sebastes serriceps,Sebastidae,2
1003265,Semicossyphus pulcher,Labridae,7
1003266,Chromis punctipinnis,Pomacentridae,480
1003266,Embiotoca jacksoni,Embiotocidae,23
1003266,Halichoeres semicinctus,Labridae,1
1003266,Hypsypops rubicundus,Pomacentridae,2
1003266,Lythrypnus dalli,Gobiidae,1
1003266,Ophiodon elongatus,Hexagrammidae,1
1003266,Oxyjulis californica,Labridae,106
1003266,Oxylebius pictus,Hexagrammidae,11
1003266,Paralabrax clathratus,Serranidae,4
