SITECODE,SITE,SITELAT,SITELONG,COUNTRY,ECOREGION,SURVEYDATE,SURVEYID,DEPTH,WATER TEMPERATURE.F,pH,SALINITY (parts per 1000)
ETP15,Isla Manuelita,5.56187,-87.04693,Costa Rica,Cocos Islands,9/2/2006,506003329,6,80,7.9,34.7
ETP23,Punta Presidio,5.54994,-87.0604,Costa Rica,Cocos Islands,9/2/2006,506003330,6,81,8,34.4
ETP15,Isla Manuelita,5.56187,-87.04693,Costa Rica,Cocos Islands,9/2/2006,506003331,14,84,8.2,34.6
ETP23,Punta Presidio,5.54994,-87.0604,Costa Rica,Cocos Islands,9/2/2006,506003332,15,80,7.9,36.9
ETP118,Isla Paraja (s) Cocos,5.554117,-87.054083,Costa Rica,Cocos Islands,9/3/2006,506003333,6,77,8.2,34.6
ETP19,Atrevido,5.52842,-87.02996,Costa Rica,Cocos Islands,9/3/2006,506003334,6,80,7.8,35.9
ETP240,Silverado Norte,5.554,-87.03108,Costa Rica,Cocos Islands,9/3/2006,506003335,8,82,7.9,36.3
ETP240,Silverado Norte,5.554,-87.03108,Costa Rica,Cocos Islands,9/3/2006,506003336,11,77,7.8,34.5
ETP118,Isla Paraja (s) Cocos,5.554117,-87.054083,Costa Rica,Cocos Islands,9/3/2006,506003337,15,81,7.8,34.8
ETP19,Atrevido,5.52842,-87.02996,Costa Rica,Cocos Islands,9/3/2006,506003338,15,73,7.8,35.2
ETP20,Punta Maria,5.53536,-87.08679,Costa Rica,Cocos Islands,9/4/2006,506003339,7,81,8.2,34.8
ETP25,Dos Amigos,5.50856,-87.10121,Costa Rica,Cocos Islands,9/4/2006,506003341,8,83,8,34.8
ETP20,Punta Maria,5.53536,-87.08679,Costa Rica,Cocos Islands,9/4/2006,506003342,13,73,8.2,34.7
ETP25,Dos Amigos,5.50856,-87.10121,Costa Rica,Cocos Islands,9/4/2006,506003343,15,82,7.8,35
ETP234,Roca Sumergida,5.50014,-87.0801225,Costa Rica,Cocos Islands,9/6/2006,506003351,8,79,7.8,34.9
ETP234,Roca Sumergida,5.50014,-87.0801225,Costa Rica,Cocos Islands,9/6/2006,506003353,15,80,8,36.6
ETP119,Isla Manuelita afuera (s) Cocos,5.56095,-87.048517,Costa Rica,Cocos Islands,9/8/2006,506003359,6,84,8.1,35.4
ETP117,Punta Ulloa (d) Cocos,5.550215,-87.0331,Costa Rica,Cocos Islands,9/8/2006,506003360,7,74,7.9,34.1
ETP117,Punta Ulloa (d) Cocos,5.550215,-87.0331,Costa Rica,Cocos Islands,9/8/2006,506003362,14,73,8.2,36.8
ETP119,Isla Manuelita afuera (s) Cocos,5.56095,-87.048517,Costa Rica,Cocos Islands,9/8/2006,506003363,15,79,8.1,36.5
ETP191,Pared Fantasma,4.006528,-81.603535,Colombia,Panama Bight,12/6/2006,57003307,8,84,8.2,34.4
ETP191,Pared Fantasma,4.006528,-81.603535,Colombia,Panama Bight,12/6/2006,57003308,15,73,8,36.1
ETP194,Pared Naufrago Sur,4.007872,-81.60659,Colombia,Panama Bight,12/7/2006,57003311,8,80,8.2,35.8
ETP194,Pared Naufrago Sur,4.007872,-81.60659,Colombia,Panama Bight,12/7/2006,57003313,14,82,7.9,36.7
ETP194,Pared Naufrago Sur,4.007872,-81.60659,Colombia,Panama Bight,12/7/2006,57003314,20,76,7.8,35.8
ETP161,El Freezer,4.003676,-81.610646,Colombia,Panama Bight,12/10/2006,57003322,8,78,7.8,36.7
ETP161,El Freezer,4.003676,-81.610646,Colombia,Panama Bight,12/10/2006,57003323,14,75,8.2,34.3
ETP161,El Freezer,4.003676,-81.610646,Colombia,Panama Bight,12/10/2006,57003324,20,73,7.8,34.4
ETP193,Pared Naufrago Norte,4.008553,-81.605377,Colombia,Panama Bight,12/11/2006,57003326,8,76,7.8,35.8
ETP193,Pared Naufrago Norte,4.008553,-81.605377,Colombia,Panama Bight,12/11/2006,57003327,14,83,7.9,36.7
ETP193,Pared Naufrago Norte,4.008553,-81.605377,Colombia,Panama Bight,12/11/2006,57003328,20,76,8.1,35.8
ETP152,Canal Afuera SO,7.691883333,-81.63953333,Panama,Nicoya,3/20/2007,507003524,6,73,8.2,35.1
ETP152,Canal Afuera SO,7.691883333,-81.63953333,Panama,Nicoya,3/20/2007,507003528,12,81,8,35.7
